,number,value,datetime_start,datetime_complete,duration,params_lr,params_scheduler_gamma,params_w_feat,params_w_info,params_w_res,params_weight_decay,state
19,19,0.21974952607513726,2025-05-09 07:00:57.690600,2025-05-09 07:23:51.861233,0 days 00:22:54.170633,5.4158113768311306e-05,0.9961125040725234,1.956686630363218,0.4238751668637002,3.7118328374995526,1.1011822588283618e-05,PRUNED
20,20,0.16146899739790227,2025-05-09 07:23:51.868233,2025-05-09 07:47:08.989950,0 days 00:23:17.121717,8.228256404760398e-05,0.9983348803693226,0.6853180858106804,0.7230321508273887,4.5803705130507,2.2395816224981496e-06,PRUNED
21,21,0.3599942212028414,2025-05-09 07:47:08.997950,2025-05-09 08:10:33.278759,0 days 00:23:24.280809,0.00982233929604628,0.9944407006060408,4.122514471465635,1.010939705744785,4.374127128951912,5.280924716465599e-05,PRUNED
22,22,0.15442259943491546,2025-05-09 08:10:33.285759,2025-05-09 08:33:55.402490,0 days 00:23:22.116731,0.0001780481298444868,0.9957089885028879,4.779445540686403,1.9970885534561007,2.947707628703438,4.365142365326486e-06,COMPLETE
23,23,0.18752000936599458,2025-05-09 08:33:55.412490,2025-05-09 08:57:19.039950,0 days 00:23:23.627460,0.000237966096469709,0.9952860642403146,4.512861622439465,1.6725567985594525,3.2509136593692087,2.98328071691947e-06,PRUNED
24,24,0.19846963426480285,2025-05-09 08:57:19.047950,2025-05-09 09:20:24.788835,0 days 00:23:05.740885,2.4505099618110575e-05,0.9966009719109623,3.347419710186024,1.764469744256257,2.3468291879204335,8.302427341903976e-06,PRUNED
25,25,0.12646958460951138,2025-05-09 09:20:24.796834,2025-05-09 09:43:52.389795,0 days 00:23:27.592961,8.403101482984605e-05,0.9925921535999396,2.580807798162028,1.490583162332108,1.7847315233608025,3.2519823248442456e-06,COMPLETE
26,26,0.14807371372661962,2025-05-09 09:43:52.399796,2025-05-09 10:07:10.422411,0 days 00:23:18.022615,7.309294324513864e-05,0.9924840105284061,2.5305236027867686,1.4581362969099867,1.6799346384862026,1.8163384016168161e-06,COMPLETE
27,27,0.14668766779065306,2025-05-09 10:07:10.432411,2025-05-09 10:30:32.767702,0 days 00:23:22.335291,0.000420799431967432,0.9927674927506036,2.6591617270213024,1.17237135248452,1.3948779101442386,2.035986597744418e-05,COMPLETE
28,28,0.13158860114132215,2025-05-09 10:30:32.777699,2025-05-09 10:53:53.947838,0 days 00:23:21.170139,0.00041347048237990787,0.9929062624464278,1.8510561725511212,1.1555356795687046,0.9483385578380914,4.287737712958637e-05,COMPLETE
29,29,0.19562682913916404,2025-05-09 10:53:53.957838,2025-05-09 11:17:24.616977,0 days 00:23:30.659139,0.0011085489997504489,0.990712990477341,1.6411417260294632,1.449383916122215,0.7475911994114548,6.290566368420215e-05,PRUNED
30,30,0.2679752667877924,2025-05-09 11:17:24.624977,2025-05-09 11:40:49.613785,0 days 00:23:24.988808,0.001839862873846685,0.9918770775740503,2.0206907726079555,1.2003760154137915,0.9918098394965995,0.00014692625648980747,PRUNED
31,31,0.1453108906318639,2025-05-09 11:40:49.621786,2025-05-09 12:04:16.068603,0 days 00:23:26.446817,0.0003684417515956668,0.9932095016879298,1.3389497042750012,1.471623349193174,1.7996236790209104,3.6574132780382764e-05,COMPLETE
32,32,0.15328553076348728,2025-05-09 12:04:16.078604,2025-05-09 12:27:55.184069,0 days 00:23:39.105465,0.0006032880096026663,0.993243120072066,1.1492563921822663,1.4645022491082407,1.6772303951799206,3.8760167634514846e-05,PRUNED
33,33,0.1416583378682418,2025-05-09 12:27:55.191069,2025-05-09 12:51:19.699637,0 days 00:23:24.508568,0.00034189666203271143,0.9942371289215965,1.1373706101916372,1.5914997443924985,1.0239465387800755,3.617538067550685e-05,COMPLETE
34,34,0.15010653785053063,2025-05-09 12:51:19.709637,2025-05-09 13:14:44.836976,0 days 00:23:25.127339,0.00019071933427764376,0.9944240851128522,0.5393919084066358,1.6043273878491593,0.9957612469531618,7.731874451807856e-05,COMPLETE
35,35,0.12032253208085099,2025-05-09 13:14:44.846976,2025-05-09 13:38:05.740427,0 days 00:23:20.893451,0.00010977346133395633,0.9919956171403106,2.0066974320488082,1.8021268388036866,1.1687277490781123,8.861996011122903e-06,COMPLETE
36,36,0.14711363130202612,2025-05-09 13:38:05.750427,2025-05-09 14:01:18.491017,0 days 00:23:12.740590,0.00010326794116964546,0.9920318102736376,2.2495932732761106,1.8986862969314935,1.3403833703688994,7.282848715921779e-06,COMPLETE
37,37,0.17571277056265897,2025-05-09 14:01:18.502017,2025-05-09 14:24:30.316806,0 days 00:23:11.814789,3.561457038248851e-05,0.991249178234556,1.998861792711928,1.8624023585295177,0.558623490132458,1.2227430376251377e-05,PRUNED
38,38,0.17881371595782466,2025-05-09 14:24:30.324806,2025-05-09 14:47:55.136969,0 days 00:23:24.812163,0.00012637171915129856,0.992266921629957,1.799505401829054,0.29932961400397273,2.0050833905042063,1.590845085237638e-06,PRUNED
39,39,0.14247886961568218,2025-05-09 14:47:55.143970,2025-05-09 15:11:14.987888,0 days 00:23:19.843918,9.412270029247451e-05,0.9912250092143913,2.5442115020377094,0.8635033097616792,2.599917108192903,3.054370098485068e-06,COMPLETE
40,40,0.21200043603100494,2025-05-09 15:11:14.997888,2025-05-09 15:33:59.083083,0 days 00:22:44.085195,1.1026897671130155e-05,0.9909137213020344,2.286233393094202,1.830816651304219,1.1276931943344048,5.801055663516349e-06,PRUNED
41,41,0.2015372448520626,2025-05-09 15:33:59.090083,2025-05-09 15:56:51.219372,0 days 00:22:52.129289,1.5638910109127633e-05,0.9902152006860492,1.5427665042447485,0.7532924934440957,2.0060437992910134,9.535668125030067e-06,PRUNED
42,42,0.14602855762133574,2025-05-09 15:56:51.226372,2025-05-09 16:21:52.016200,0 days 00:25:00.789828,0.0003404139655373934,0.9943125132474874,1.1997398218763844,1.6036226888241367,0.8444796165294164,0.00014403305728231508,COMPLETE
43,43,0.21660473886076165,2025-05-09 16:21:52.026200,2025-05-09 16:52:26.463478,0 days 00:30:34.437278,0.0008067406148504824,0.9939684285755533,0.9779911835368017,1.3619238219505272,1.3403065809011436,1.5116576398479679e-05,PRUNED
44,44,0.1586571888239677,2025-05-09 16:52:26.469477,2025-05-09 17:30:50.808066,0 days 00:38:24.338589,0.00024282935434867076,0.9932365421547042,2.3590882524410826,1.778181076871353,1.1796635595984692,3.420022900498283e-05,PRUNED
45,45,0.1113749441760016,2025-05-09 17:30:50.816066,2025-05-09 18:04:08.402906,0 days 00:33:17.586840,0.00015441928492216004,0.994897723831901,1.8374865711784658,1.077935410911445,0.789098769079944,0.00010114799413500609,COMPLETE
46,46,0.13961217769799134,2025-05-09 18:04:08.413904,2025-05-09 18:35:18.710339,0 days 00:31:10.296435,0.0001346905663575908,0.9916737232638084,1.8295683166709251,1.0730594567052387,0.7623740888839257,0.00036416672624065135,COMPLETE
47,47,0.13660960831768043,2025-05-09 18:35:18.720337,2025-05-09 19:08:13.906660,0 days 00:32:55.186323,4.421000778940388e-05,0.9936390860082053,2.860445347510291,1.2351434635564091,0.5222314749819155,0.00010812091687555438,COMPLETE
48,48,0.15747001140560313,2025-05-09 19:08:13.916659,2025-05-09 19:38:09.827134,0 days 00:29:55.910475,6.0540323541671996e-05,0.9948402710285187,2.737677109054553,0.9718690795973914,1.6516867328778315,0.0001903387478212458,PRUNED
49,49,0.17297078693385903,2025-05-09 19:38:09.834134,2025-05-09 20:03:02.547657,0 days 00:24:52.713523,3.2052759587582636e-05,0.9926313727220728,2.071293165568786,0.8279293507178525,0.8058908683230088,7.70453495195143e-05,PRUNED
50,50,0.14940721960515854,2025-05-09 20:03:02.555657,2025-05-09 20:30:00.371141,0 days 00:26:57.815484,0.0001611672202341446,0.9950291710373756,3.2619491995705703,1.1133456905266266,3.6754777844605133,2.6214118828384776e-06,PRUNED
51,51,0.17028164766829884,2025-05-09 20:30:00.379139,2025-05-09 20:55:41.571908,0 days 00:25:41.192769,8.428723850746642e-05,0.9930149636033904,1.764499422551342,0.665506868555263,1.164567774080556,4.986082599018373e-06,PRUNED
52,52,0.21958585479553447,2025-05-10 11:52:15.746298,2025-05-10 12:15:48.134909,0 days 00:23:32.388611,,,2.86758353087251,1.2345901161715291,0.6315812155207694,,PRUNED
53,53,0.18045987168779118,2025-05-10 12:15:48.143909,2025-05-10 12:38:52.316681,0 days 00:23:04.172772,,,2.4312060874834143,1.3587437570397143,0.5218975375319561,,PRUNED
54,54,0.20239907727656226,2025-05-10 12:38:52.324681,2025-05-10 13:02:07.975342,0 days 00:23:15.650661,,,2.153999403292269,0.9459414895998667,1.5189569421541558,,PRUNED
55,55,0.20956311573803973,2025-05-10 13:02:07.982342,2025-05-10 13:25:26.478334,0 days 00:23:18.495992,,,3.1384656760757195,0.18910682520519284,0.941685058245461,,PRUNED
56,56,0.1679103800867256,2025-05-10 13:25:26.485335,2025-05-10 13:48:50.587369,0 days 00:23:24.102034,,,2.7633563017987486,1.2827372088389986,1.2452097355311902,,PRUNED
57,57,0.21241996805210095,2025-05-10 13:48:50.594370,2025-05-10 14:12:12.958919,0 days 00:23:22.364549,,,3.7903783515044824,1.0329802015618488,0.5199516973762305,,PRUNED
58,58,0.215271516319846,2025-05-10 14:12:12.965919,2025-05-10 14:35:27.780533,0 days 00:23:14.814614,,,1.3664226725116326,1.182125122597439,0.7421680259627437,,PRUNED
59,59,0.19327142182071963,2025-05-10 14:35:27.788533,2025-05-10 14:58:47.544850,0 days 00:23:19.756317,,,2.4677130593960257,0.5688402949257333,2.366879500268392,,PRUNED
60,60,0.1788293325707585,2025-05-10 14:58:47.552850,2025-05-10 15:22:03.669729,0 days 00:23:16.116879,,,3.1162034805657726,1.1178437266660972,4.127814863932981,,PRUNED
61,61,0.2373920266249426,2025-05-10 15:22:03.676729,2025-05-10 15:45:31.404646,0 days 00:23:27.727917,,,2.6453611105688632,1.5421084900586735,1.8768953486013957,,PRUNED
62,62,0.2276790693799236,2025-05-10 15:45:31.412645,2025-05-10 16:08:48.356440,0 days 00:23:16.943795,,,1.8125625863435184,1.0795628994763167,0.690386172006779,,PRUNED
63,63,0.1998413605298773,2025-05-10 16:08:48.363440,2025-05-10 16:32:09.586792,0 days 00:23:21.223352,,,1.5037343184366567,1.261798197470874,0.9251706834532836,,PRUNED
64,64,0.18635540506091317,2025-05-10 16:32:09.593792,2025-05-10 16:55:24.254080,0 days 00:23:14.660288,,,1.7103190413228535,1.3826371036658816,0.8151046609520668,,PRUNED
65,65,0.21096525074556383,2025-05-10 16:55:24.261080,2025-05-10 17:18:41.767424,0 days 00:23:17.506344,,,2.1967471687329345,1.0377258500584918,1.5544948061698372,,PRUNED
66,66,0.20986114203510692,2025-05-10 17:18:41.775425,2025-05-10 17:42:05.176102,0 days 00:23:23.400677,,,1.9323266400329313,0.9030070146040208,0.6833210509503146,,PRUNED
67,67,0.1918700629669717,2025-05-10 17:42:05.183102,2025-05-10 18:05:24.411667,0 days 00:23:19.228565,,,2.9387920372264076,1.6675092686524748,1.0764909765480282,,PRUNED
68,68,0.2476320467211614,2025-05-10 18:05:24.418667,2025-05-10 18:28:44.846130,0 days 00:23:20.427463,,,1.9000267537555104,0.8215910295548958,1.2332195149700833,,PRUNED
69,69,0.23597079973963891,2025-05-10 18:28:44.853131,2025-05-10 18:52:08.213438,0 days 00:23:23.360307,,,2.8311496418271505,0.39532425896118506,0.8803894458273578,,PRUNED
70,70,0.23357028126563914,2025-05-10 18:52:08.220438,2025-05-10 19:15:25.351265,0 days 00:23:17.130827,,,2.1207815621528106,1.1717330589333594,2.207557087849749,,PRUNED
71,71,0.2321069782462003,2025-05-10 19:15:25.358265,2025-05-10 19:38:45.189207,0 days 00:23:19.830942,,,1.6083070224577978,1.4102835702549044,3.5272306478861437,,PRUNED
72,72,0.1988390363296026,2025-05-10 19:38:45.196207,2025-05-10 20:02:00.836504,0 days 00:23:15.640297,,,0.7513168164367301,1.5304245752999808,1.0413076620626482,,PRUNED
73,73,0.1949306096361909,2025-05-10 20:02:00.843504,2025-05-10 20:25:10.196299,0 days 00:23:09.352795,,,1.3650900019043064,1.3052105052737073,1.3286485020004093,,PRUNED
74,74,0.20207280921316048,2025-05-10 20:25:10.204299,2025-05-10 20:48:21.102975,0 days 00:23:10.898676,,,2.6527357831083687,1.6544856246766364,0.6157661425259763,,PRUNED
75,75,0.1562119292406084,2025-05-10 20:48:21.109975,2025-05-10 21:11:27.140732,0 days 00:23:06.030757,,,0.8742862306146648,1.9715889572675223,3.044246544065947,,PRUNED
76,76,0.23038744093401445,2025-05-10 21:11:27.148732,2025-05-10 21:34:46.815168,0 days 00:23:19.666436,,,1.1602846905862072,1.2220863888673599,1.0498447696255997,,PRUNED
