Loading Hopkins155 data from: data/Hopkins155/
finished loading data for 157 sequences
cuda
Pretraining Epoch 290/300, Avg Loss: 5.0960
Pretraining Epoch 291/300, Avg Loss: 5.0979
Pretraining Epoch 292/300, Avg Loss: 5.0922
Pretraining Epoch 293/300, Avg Loss: 5.0898
Pretraining Epoch 294/300, Avg Loss: 5.0879
Pretraining Epoch 295/300, Avg Loss: 5.0961
Pretraining Epoch 296/300, Avg Loss: 5.0915
Pretraining Epoch 297/300, Avg Loss: 5.0970
Pretraining Epoch 298/300, Avg Loss: 5.0927
Pretraining Epoch 299/300, Avg Loss: 5.0879
Pretraining Epoch 300/300, Avg Loss: 5.0920
Full Training Epoch 1/500, Avg Loss: 0.5606
Full Training Epoch 2/500, Avg Loss: 0.5436
Full Training Epoch 3/500, Avg Loss: 0.5392
Full Training Epoch 4/500, Avg Loss: 0.5359
Full Training Epoch 5/500, Avg Loss: 0.5316
Full Training Epoch 6/500, Avg Loss: 0.5283
Full Training Epoch 7/500, Avg Loss: 0.5261
Full Training Epoch 8/500, Avg Loss: 0.5250
Full Training Epoch 9/500, Avg Loss: 0.5230
Full Training Epoch 10/500, Avg Loss: 0.5217
Full Training Epoch 11/500, Avg Loss: 0.5200
Full Training Epoch 12/500, Avg Loss: 0.5210
Full Training Epoch 13/500, Avg Loss: 0.5186
Full Training Epoch 14/500, Avg Loss: 0.5193
Full Training Epoch 15/500, Avg Loss: 0.5178
Full Training Epoch 16/500, Avg Loss: 0.5176
Full Training Epoch 17/500, Avg Loss: 0.5167
Full Training Epoch 18/500, Avg Loss: 0.5148
Full Training Epoch 19/500, Avg Loss: 0.5152
Full Training Epoch 20/500, Avg Loss: 0.5125
Full Training Epoch 21/500, Avg Loss: 0.5130
Full Training Epoch 22/500, Avg Loss: 0.5128
Full Training Epoch 23/500, Avg Loss: 0.5120
Full Training Epoch 24/500, Avg Loss: 0.5114
Full Training Epoch 25/500, Avg Loss: 0.5109
Full Training Epoch 26/500, Avg Loss: 0.5109
Full Training Epoch 27/500, Avg Loss: 0.5114
Full Training Epoch 28/500, Avg Loss: 0.5099
Full Training Epoch 29/500, Avg Loss: 0.5100
Full Training Epoch 30/500, Avg Loss: 0.5102
Full Training Epoch 31/500, Avg Loss: 0.5084
Full Training Epoch 32/500, Avg Loss: 0.5092
Full Training Epoch 33/500, Avg Loss: 0.5075
Full Training Epoch 34/500, Avg Loss: 0.5076
Full Training Epoch 35/500, Avg Loss: 0.5078
Full Training Epoch 36/500, Avg Loss: 0.5083
Full Training Epoch 37/500, Avg Loss: 0.5077
Full Training Epoch 38/500, Avg Loss: 0.5076
Full Training Epoch 39/500, Avg Loss: 0.5101
Full Training Epoch 40/500, Avg Loss: 0.5066
Full Training Epoch 41/500, Avg Loss: 0.5064
Full Training Epoch 42/500, Avg Loss: 0.5073
Full Training Epoch 43/500, Avg Loss: 0.5070
Full Training Epoch 44/500, Avg Loss: 0.5072
Full Training Epoch 45/500, Avg Loss: 0.5061
Full Training Epoch 46/500, Avg Loss: 0.5094
Full Training Epoch 47/500, Avg Loss: 0.5066
Full Training Epoch 48/500, Avg Loss: 0.5071
Full Training Epoch 49/500, Avg Loss: 0.5046
Full Training Epoch 50/500, Avg Loss: 0.5053
Full Training Epoch 51/500, Avg Loss: 0.5039
Full Training Epoch 52/500, Avg Loss: 0.5070
Full Training Epoch 53/500, Avg Loss: 0.5065
Full Training Epoch 54/500, Avg Loss: 0.5050
Full Training Epoch 55/500, Avg Loss: 0.5055
Full Training Epoch 56/500, Avg Loss: 0.5039
Full Training Epoch 57/500, Avg Loss: 0.5042
Full Training Epoch 58/500, Avg Loss: 0.5041
Full Training Epoch 59/500, Avg Loss: 0.5046
Full Training Epoch 60/500, Avg Loss: 0.5043
Full Training Epoch 61/500, Avg Loss: 0.5041
Full Training Epoch 62/500, Avg Loss: 0.5042
Full Training Epoch 63/500, Avg Loss: 0.5028
Full Training Epoch 64/500, Avg Loss: 0.5043
Full Training Epoch 65/500, Avg Loss: 0.5039
Full Training Epoch 66/500, Avg Loss: 0.5037
Full Training Epoch 67/500, Avg Loss: 0.5033
Full Training Epoch 68/500, Avg Loss: 0.5026
Full Training Epoch 69/500, Avg Loss: 0.5046
Full Training Epoch 70/500, Avg Loss: 0.5021
Full Training Epoch 71/500, Avg Loss: 0.5041
Full Training Epoch 72/500, Avg Loss: 0.5023
Full Training Epoch 73/500, Avg Loss: 0.5017
Full Training Epoch 74/500, Avg Loss: 0.5017
Full Training Epoch 75/500, Avg Loss: 0.5011
Full Training Epoch 76/500, Avg Loss: 0.5018
Full Training Epoch 77/500, Avg Loss: 0.5007
Full Training Epoch 78/500, Avg Loss: 0.5013
Full Training Epoch 79/500, Avg Loss: 0.5013
Full Training Epoch 80/500, Avg Loss: 0.5049
Full Training Epoch 81/500, Avg Loss: 0.5011
Full Training Epoch 82/500, Avg Loss: 0.5032
Full Training Epoch 83/500, Avg Loss: 0.5049
Full Training Epoch 84/500, Avg Loss: 0.5015
Full Training Epoch 85/500, Avg Loss: 0.5016
Full Training Epoch 86/500, Avg Loss: 0.5006
Full Training Epoch 87/500, Avg Loss: 0.5010
Full Training Epoch 88/500, Avg Loss: 0.5005
Full Training Epoch 89/500, Avg Loss: 0.4993
Full Training Epoch 90/500, Avg Loss: 0.5005
Full Training Epoch 91/500, Avg Loss: 0.5023
Full Training Epoch 92/500, Avg Loss: 0.5017
Full Training Epoch 93/500, Avg Loss: 0.5006
Full Training Epoch 94/500, Avg Loss: 0.4992
Full Training Epoch 95/500, Avg Loss: 0.4993
Full Training Epoch 96/500, Avg Loss: 0.5003
Full Training Epoch 97/500, Avg Loss: 0.4989
Full Training Epoch 98/500, Avg Loss: 0.5001
Full Training Epoch 99/500, Avg Loss: 0.5003
Full Training Epoch 100/500, Avg Loss: 0.5011
Full Training Epoch 101/500, Avg Loss: 0.4996
Full Training Epoch 102/500, Avg Loss: 0.4990
Full Training Epoch 103/500, Avg Loss: 0.5023
Full Training Epoch 104/500, Avg Loss: 0.4991
Full Training Epoch 105/500, Avg Loss: 0.4985
Full Training Epoch 106/500, Avg Loss: 0.4977
Full Training Epoch 107/500, Avg Loss: 0.4978
